angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0
1.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0
4.0,3.0,3.588235294117644,2.0,2.0,3.0,3.0,2.0,4.0,0.0
0.8333333333333047,3.0,2.764705882352945,2.0,1.0,1.0,3.0,2.0,4.0,2.0
3.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,4.0,2.0
3.0,3.0,3.823529411764717,2.0,4.0,2.0,1.6666666666666814,1.499999999999997,3.0,2.0
3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0
3.0,3.0,3.5294117647058867,0.0,1.0,1.0,1.0,1.0,3.0,0.0
0.0,3.0,1.0,1.4000000000000015,1.0,3.0,4.0,2.0,2.571428571428558,4.0
3.0,0.0,3.0,1.6000000000000045,1.0,1.0,3.0,2.0,2.0,4.0
4.0,1.0,3.6470588235294086,0.0,1.0,3.0,3.0,2.0,4.0,4.0
1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0
3.0,1.0,3.0,0.0,1.0,3.0,4.0,2.0,3.0,4.0
4.0,3.0,1.176470588235321,2.0,2.0,0.0,2.0,1.0,1.0,2.0
3.0,2.0,0.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0
3.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0
